THz Laser,,IR Pump,,,,,,,,,,,
,,P,,,,Q,,,,R,,,
Freq (GHz),QN,P Freq (wn),P QN,P Polarization,P G_m,Q Freq (wn),Q QN,Q Polarization,Q G_m,R Freq (wn),R QN,R Polarization,R G_m
1978.112,"aR(4,3) ",814.2415,"aP(6,3)",parallel,1.40E-18,932.9923,"aQ(5,3)",perpendicular,1.60E-18,1032.131,"aR(4,3)",parallel,2.20E-18
2010.3707,"aR(4,2) ",815.591,"aP(6,2)",parallel,9.90E-19,934.2521,"aQ(5,2)",perpendicular,4.40E-19,1033.3158,"aR(4,2)",parallel,1.80E-18
2029.2006,"aR(4,1) ",816.3862,"aP(6,1)",parallel,1.20E-18,934.994,"aQ(5,1)",perpendicular,1.20E-19,1034.0127,"aR(4,1)",parallel,2.20E-18
2035.4532,"aR(4,0) ",816.651,"aP(6,0)",parallel,2.50E-18,-,-,-,-,1034.2448,"aR(4,0)",parallel,4.60E-18
2244.4659,"sR(1,0) ",908.1991,"sP(3,0)",parallel,3.70E-18,-,-,-,-,1007.5471,"sR(1,0)",parallel,3.60E-18
2252.112,"sR(1,1)*",908.1768,"sP(3,1)",parallel,1.30E-18,967.7747,"sQ(2,1)",perpendicular,4.90E-19,1007.5405,"sR(1,1)",parallel,1.00E-18
2518.6637,"aR(5,5) ",791.7268,"aP(7,5)",parallel,1.70E-19,930.3066,"aQ(6,5)",perpendicular,6.70E-19,1049.3464,"aR(5,5)",parallel,2.50E-19
2578.1665,"aR(5,4) ",794.2441,"aP(7,4)",parallel,3.70E-19,932.6357,"aQ(6,4)",perpendicular,6.60E-19,1051.512,"aR(5,4)",parallel,7.00E-19
2622.0015,"aR(5,3) ",796.1341,"aP(7,3)",parallel,1.10E-18,934.3796,"aQ(6,3)",perpendicular,8.90E-19,1053.1305,"aR(5,3)",parallel,2.30E-18
2651.9227,"aR(5,2) ",797.4477,"aP(7,2)",parallel,6.10E-19,935.5916,"aQ(6,2)",perpendicular,2.20E-19,1054.2527,"aR(5,2)",parallel,1.40E-18
2669.411,"aR(5,1) ",798.2222,"aP(7,1)",parallel,7.40E-19,936.3048,"aQ(6,1)",perpendicular,5.60E-20,1054.9126,"aR(5,1)",parallel,1.60E-18
2822.2564,"sR(2,1)*",888.0794,"sP(4,1)",parallel,1.60E-18,967.4491,"sQ(3,1)",perpendicular,3.30E-19,1027.047,"sR(2,1)",parallel,1.90E-18
2845.2812,"sR(2,2)*",887.9998,"sP(4,2)",parallel,8.20E-19,967.4068,"sQ(3,2)",perpendicular,8.60E-19,1027.0329,"sR(2,2)",parallel,7.70E-19
3101.5415,"aR(6,6) ",770.9138,"aP(8,6)",parallel,1.80E-19,929.1617,"aQ(7,6)",perpendicular,9.10E-19,1067.9744,"aR(6,6)",parallel,3.00E-19
3173.2998,"aR(6,5) ",774.0253,"aP(8,5)",parallel,1.90E-19,932.0112,"aQ(7,5)",perpendicular,4.80E-19,1070.591,"aR(6,5)",parallel,4.10E-19
3228.0358,"aR(6,4) ",776.4616,"aP(8,4)",parallel,2.60E-19,934.2357,"aQ(7,4)",perpendicular,3.40E-19,1072.6274,"aR(6,4)",parallel,6.60E-19
3268.2465,"aR(6,3) ",778.2899,"aP(8,3)",parallel,6.20E-19,935.9037,"aQ(7,3)",perpendicular,4.20E-19,1074.1492,"aR(6,3)",parallel,1.70E-18
3295.7384,"aR(6,2) ",779.564,"aP(8,2)",parallel,3.50E-19,937.0593,"aQ(7,2)",perpendicular,9.90E-20,1075.2032,"aR(6,2)",parallel,9.80E-19
3311.7699,"aR(6,1) ",780.3141,"aP(8,1)",parallel,3.90E-19,937.7404,"aQ(7,1)",perpendicular,2.50E-20,1075.8229,"aR(6,1)",parallel,1.10E-18
3317.205,"aR(6,0) ",780.5677,"aP(8,0)",parallel,7.20E-19,-,-,-,-,1076.0331,"aR(6,0)",parallel,2.20E-18
3373.6128,"sR(3,0) ",868.0015,"sP(5,0)",parallel,2.90E-18,-,-,-,-,1046.4055,"sR(3,0)",parallel,4.60E-18
3380.9901,"sR(3,1)*",867.9689,"sP(5,1)",parallel,1.40E-18,967.0308,"sQ(4,1)",perpendicular,1.90E-19,1046.4006,"sR(3,1)",parallel,2.10E-18
3403.6125,"sR(3,2)*",867.8729,"sP(5,2)",parallel,1.00E-18,966.981,"sQ(4,2)",perpendicular,6.30E-19,1046.388,"sR(3,2)",parallel,1.40E-18
3442.2588,"sR(3,3)*",867.7196,"sP(5,3)",parallel,9.90E-19,966.9051,"sQ(4,3)",perpendicular,1.80E-18,1046.3746,"sR(3,3)",parallel,1.10E-18
3679.5915,"aR(7,7) ",749.8631,"aP(9,7)",parallel,4.60E-20,927.742,"aQ(8,7)",perpendicular,2.90E-19,1086.3042,"aR(7,7)",parallel,8.50E-20
3763.5615,"aR(7,6) ",753.5905,"aP(9,6)",parallel,1.90E-19,931.122,"aQ(8,6)",perpendicular,6.20E-19,1089.3699,"aR(7,6)",parallel,4.70E-19
3828.8208,"aR(7,5) ",756.5842,"aP(9,5)",parallel,1.30E-19,933.826,"aQ(8,5)",perpendicular,2.40E-19,1091.8119,"aR(7,5)",parallel,3.60E-19
3878.5013,"aR(7,4) ",758.9296,"aP(9,4)",parallel,1.60E-19,935.9373,"aQ(8,4)",perpendicular,1.60E-19,1093.7114,"aR(7,4)",parallel,4.70E-19
3915.067,"aR(7,3) ",760.6939,"aP(9,3)",parallel,3.70E-19,937.5155,"aQ(8,3)",perpendicular,1.80E-19,1095.1293,"aR(7,3)",parallel,1.10E-18
3928.6856,"sR(4,1)*",847.8763,"sP(6,1)",parallel,1.00E-18,966.5324,"sQ(5,1)",perpendicular,9.80E-20,1065.5943,"sR(4,1)",parallel,1.90E-18
3939.7792,"aR(7,2) ",761.9181,"aP(9,2)",parallel,2.00E-19,938.6175,"aQ(8,2)",perpendicular,4.10E-20,1096.1128,"aR(7,2)",parallel,5.90E-19
3950.7233,"sR(4,2)*",847.7629,"sP(6,2)",parallel,8.50E-19,966.4736,"sQ(5,2)",perpendicular,3.60E-19,1065.5817,"sR(4,2)",parallel,1.50E-18
3954.2658,"aR(7,1) ",762.6406,"aP(9,1)",parallel,2.00E-19,939.2636,"aQ(8,1)",perpendicular,1.00E-20,1096.6898,"aR(7,1)",parallel,6.00E-19
